GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
蝙蝠侠：阿克汉姆起源 黑门,Batman: Arkham Origins Blackgate,Armature Studio,Warner Bros. Games,2013-10-25,false,,,,,,,,,,,,,,,"pc, "
蝙蝠侠：阿克汉姆起源,Batman: Arkham Origins,Warner Bros. Games,Warner Bros. Games,2013-10-25,false,,,,,,,,,,,,,,,"pc, "
双重起源,ルートダブル -Before Crime * After Days-,Register,Yeti,,,,,,,,,,,,,,,,,"ps3, "
雷曼：起源,Rayman Origins,Ubisoft,Ubisoft,2012-04-14,false,,,,,,,,,,,,,,,"pc, "
牧场物语:起源的大地3D,Harvest Moon 3D: A New Beginning,Marvelous,Natsume,,,,,,,,,,,,,2012-02-23,false,,,"3ds, "
战神 起源 收藏版,God of War Origins Collection,Sony Interactive Entertainment,Sony Interactive Entertainment,,,,,,,,,,,,,,,,,"ps3, "
龙腾世纪 起源,Dragon Age: Origins,BioWare,EA,2009-11-03,false,,,,,,,,,,,,,,,"pc, "
极度恐慌2：起源计划,F.E.A.R. 2: Project Origin,Warner Bros. Games,Warner Bros. Games,2009-02-10,false,,,,,,,,,,,,,,,"pc, "
鬼魂力量 起源,スペクトラルフォース ジェネシス,Idea Factory,Idea Factory,,,,,,,,,,,,,,,2008-06-19,false,"psv, "
寂静岭：起源,Silent Hill The Origin,Climax Studios,Konami,,,,,,,,,,,,,,,,,"psp, "
反恐精英：起源,Counter-Strike: Source,Valve,Valve,2004-11-01,false,,,,,,,,,,,,,,,"pc, "
我的起源,,完美世界(Perfect World),腾讯游戏,,,,,,,,,,,,,,,,,"android, "
刺客信条 起源,Assassin’s Creed Origins,Ubisoft,Ubisoft,,,2017-10-27,false,,,,,,,,,,,,,"ps4, "
