GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
刺客信条4：黑旗,Assassin's Creed IV: Black Flag,Ubisoft,Ubisoft,,,,,,,,,,,,,,,,,"ns, ps4, xb1, pc, wiiu, ps3, "
限界凸旗：七个海盗,限界凸旗 セブンパイレーツ,Compile Heart,Compile Heart,,,,,,,,,,,,,,,2016-08-04,false,"psv, "
碧海黑帆,Skull and Bones,Ubisoft,Ubisoft,,,,,,,,,,,,,,,,,"ps4, xb1, "
蝙蝠侠：阿克汉姆起源 黑门,Batman: Arkham Origins Blackgate,Armature Studio,Warner Bros. Games,2013-10-25,false,,,,,,,,,,,,,,,"pc, "
怒首領蜂 大往生 黑标 EXTRA,怒首領蜂 大往生 ブラックレーベル EXTRA,5pb.,5pb.,,,,,,,,,,,,,,,,,"x360, "
虹吸战士 黑镜,Syphon Filter: Dark Mirror,Bend Studio,Sony Interactive Entertainment,,,,,,,,,,,,,,,,,"psp, "
杀手蜂后 黑,Killer Queen Black,BumbleBear,Liquid Bit,,,,,,,,,,,,,,,,,"ns, "
黑煞,Black,Criterion Games,EA,,,,,,,,,,,,,,,,,"ps2, "
龙背上的骑兵2 封印之红 背德之黑,ドラッグオンドラグーン2 封印の紅、背徳の黒,Cavia,Square Enix,,,,,,,,,,,,,,,,,"ps2, "
黑镜,Black Mirror,King Art Games,THQ Nordic,,,,,,,,,,,,,,,,,"ps4, xb1, "
宝可梦 黑/白,ポケットモンスター ブラック・ホワイト,Game Freak,The Pokémon Company,,,,,,,,,,,,,,,,,"nds, "
